CMOR Dimensions,,,,,,,,,,,,,,,,,,,,,

CMOR table(s),CMOR dimension,output dimension name,description,standard name,long name,axis,units,index axis?,coords_attrib,bounds?,stored direction,valid_min,valid_max,type,positive,value,bounds _values,requested,bounds_ requested,tol_on_requests: variance from requested values that is tolerated,grid?
"fx, Amon, Lmon,Aday",longitude,lon,,longitude,longitude,X,degrees_east,,,yes,increasing,0,360,double,,,,,,,
"fx, Amon, Lmon, Aday",latitude,lat,,latitude,latitude,Y,degrees_north,,,yes,increasing,-90,90,double,,,,,,,
Amon,plevs,plev,There are 17 mandatory levels and up to 6 additional levels requested of models with sufficient resolution in the stratosphere.,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,,,100000. 92500. 85000. 70000. 60000. 50000. 40000. 30000. 25000. 20000. 15000. 10000. 7000. 5000. 3000. 2000. 1000.,,0.001,
Aday,plev8,plev,,air_pressure,pressure,Z,Pa,,,no,decreasing,,,double,down,,,85000. 25000.1000.,,0.001,
"Amon, Lmon, Aday",time,time,for time-mean fields,time,time,T,days since ?,,,yes,increasing,,,double,,,,,,,
"Amon, Aday",height2m,height,~2 m standard surface air temperature and surface humidity  height,height,height,Z,m,,,no,increasing,1,10,double,up,2.,,,,,
 ,height10m,height,~10 m standard wind speed height,height,height,Z,m,,,no,increasing,1,30,double,up,10.,,,,,
1,Capacity of Soil to Store Water,kg m-2,"reported ""where land"": divide the total water holding capacity of all the soil in the grid cell by the land area in the grid cell;  reported as ""missing"" where the land fraction is 0.",,mrsofc,soil_moisture_content_at_field_capacity,,kg m-2,,,,,,,real,longitude latitude,mrsofc,land,,area: areacella,,
1,Maximum Root Depth,m,"report the maximum soil depth reachable by plant roots (if defined in model), i.e., the maximum soil depth from which they can extract moisture; report as ""missing"" where the land fraction is 0.",,rootd,root_depth,,m,,0,30,,,,real,longitude latitude,rootd,land,,area: areacella,,
CMOR Table Amon: Monthly Mean Atmospheric Fields and Some Surface Fields,,,,,Amon,mon,,,,,,,,,,,,,,,,
(All Saved on the Atmospheric Grid),,,,,,,,,,,,,,,,,,,,,,
In CMOR Table Amon: 2-D fields on atmospheric grid,,,,,,,,,,,,,,,,,,,,,,
CMOR Table Amon: Monthly Mean Atmospheric Fields and Some Surface Fields,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions & notes,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Near-Surface Air Temperature,K,,"normally, the temperature should be reported at the 2 meter height",tas,air_temperature,,K,time: mean,,,,,,real,longitude latitude time height2m,tas,atmos,,area: areacella,,
1,Surface Temperature,K,"""skin"" temperature (i.e., SST for open ocean)",,ts,surface_temperature,,K,time: mean,,,,,,real,longitude latitude time,ts,atmos,,area: areacella,,
1,Daily Minimum Near-Surface Air Temperature,K,monthly mean of the daily-minimum near-surface air temperature.,"normally, this should be reported at the 2 meter height.",tasmin,air_temperature,,K,time: minimum within days time: mean over days,,,,,,real,longitude latitude time height2m,tasmin,atmos,,area: areacella,,
1,Daily Maximum Near-Surface Air Temperature,K,monthly mean of the daily-maximum near-surface air temperature.,"normally, this should be reported at the 2 meter height.",tasmax,air_temperature,,K,time: maximum within days time: mean over days,,,,,,real,longitude latitude time height2m,tasmax,atmos,,area: areacella,,
1,Sea Level Pressure,Pa,"not, in general, the same as surface pressure",,psl,air_pressure_at_sea_level,,Pa,time: mean,,,,,,real,longitude latitude time,psl,atmos,,area: areacella,,
1,Surface Air Pressure,Pa,"not, in general, the same as mean sea-level pressure",,ps,surface_air_pressure,,Pa,time: mean,,,,,,real,longitude latitude time,ps,atmos,,area: areacella,,
1,Near-Surface Relative Humidity,%,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","express as a percentage.  Normally, the relative humidity  should be reported at the 2 meter height",hurs,relative_humidity,,%,time: mean,,,,,,real,longitude latitude time height2m,hurs,atmos,,area: areacella,,
1,Near-Surface Specific Humidity,1,,"Normally, the specific humidity should be reported at the 2 meter height",huss,specific_humidity,,1,time: mean,,,,,,real,longitude latitude time height2m,huss,atmos,,area: areacella,,
,,,,,,,,,,,,,,,,,,atmos,,area: areacella,,
1,Precipitation,kg m-2 s-1,at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective),,pr,precipitation_flux,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,pr,atmos,,area: areacella,,
,,,,,,,,,,,,,,,,,,atmos,,area: areacella,,
1,Surface Downward Eastward Wind Stress,Pa,,,tauu,surface_downward_eastward_stress,,Pa,time: mean,,,,,down,real,longitude latitude time,tauu,atmos,,,,
1,Surface Downward Northward Wind Stress,Pa,,,tauv,surface_downward_northward_stress,,Pa,time: mean,,,,,down,real,longitude latitude time,tauv,atmos,,,,
,,,,,,,,,,,,,,,,,,atmos,,area: areacella,,
1,Surface Upward Latent Heat Flux,W m-2,includes both evaporation and sublimation,,hfls,surface_upward_latent_heat_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,hfls,atmos,,area: areacella,,
1,Surface Upward Sensible Heat Flux,W m-2,,,hfss,surface_upward_sensible_heat_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,hfss,atmos,,area: areacella,,
1,Surface Downwelling Longwave Radiation,W m-2,,,rlds,surface_downwelling_longwave_flux_in_air,,W m-2,time: mean,,,,,down,real,longitude latitude time,rlds,atmos,,area: areacella,,
1,Surface Upwelling Longwave Radiation,W m-2,,,rlus,surface_upwelling_longwave_flux_in_air,,W m-2,time: mean,,,,,up,real,longitude latitude time,rlus,atmos,,area: areacella,,
1,Surface Downwelling Shortwave Radiation,W m-2,,,rsds,surface_downwelling_shortwave_flux_in_air,,W m-2,time: mean,,,,,down,real,longitude latitude time,rsds,atmos,,area: areacella,,
1,Surface Upwelling Shortwave Radiation,W m-2,,,rsus,surface_upwelling_shortwave_flux_in_air,,W m-2,time: mean,,,,,up,real,longitude latitude time,rsus,atmos,,area: areacella,,
,,,,,,,,,,,,,,,,,,atmos,,area: areacella,,
1,TOA Incident Shortwave Radiation,W m-2,at the top of the atmosphere,,rsdt,toa_incoming_shortwave_flux,,W m-2,time: mean,,,,,down,real,longitude latitude time,rsdt,atmos,,area: areacella,,
1,TOA Outgoing Shortwave Radiation,W m-2,at the top of the atmosphere,,rsut,toa_outgoing_shortwave_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,rsut,atmos,,area: areacella,,
1,TOA Outgoing Longwave Radiation,W m-2,at the top of the atmosphere (to be compared with satellite measurements),,rlut,toa_outgoing_longwave_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,rlut,atmos,,area: areacella,,
,,,,,,,,,,,,,,,real,,,atmos,,area: areacella,,
1,Total Cloud Fraction,%,"for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.",,clt,cloud_area_fraction,,%,time: mean,,,,,,real,longitude latitude time,clt,atmos,,area: areacella,,
,,,,,,,,,,,,,,,,,,atmos,,area: areacella,,
,,,,,,,,,,,,,,,,,,,,area: areacella,,
In CMOR Table Amon: Atmospheric 3-D fields on standard pressure levels, except 4 cloud fields which are on model levels.  ",,,,,,,,,,,,,,,,,,,,,,
"Include the following mandatory pressure levels (which are available from all available reanalyses and CMIP3): 1000, 925, 850, 700, 600, 500, 400, 300, 250, 200, 150, 100, 70, 50, 30, 20, and 10 hPa;  Also include, when appropriate, output on the following additional pressure levels: 7, 5, 3, 2, 1 and 0.4 hPa.",,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions & notes,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Air Temperature,K,,,ta,air_temperature,,K,time: mean,,,,,,real,longitude latitude plevs time,ta,atmos,,area: areacella,,
1,Eastward Wind,m s-1,,,ua,eastward_wind,,m s-1,time: mean,,,,,,real,longitude latitude plevs time,ua,atmos,,,,
1,Northward Wind,m s-1,,,va,northward_wind,,m s-1,time: mean,,,,,,real,longitude latitude plevs time,va,atmos,,,,
1,Specific Humidity,1,,,hus,specific_humidity,,1,time: mean,,,,,,real,longitude latitude plevs time,hus,atmos,,area: areacella,,
1,Relative Humidity,%,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.",,hur,relative_humidity,,%,time: mean,,,,,,real,longitude latitude plevs time,hur,atmos,,area: areacella,,
1,omega (=dp/dt),Pa s-1,"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)",,wap,lagrangian_tendency_of_air_pressure,,Pa s-1,time: mean,,,,,,real,longitude latitude plevs time,wap,atmos,,area: areacella,,
1,Geopotential Height,m,,,zg,geopotential_height,,m,time: mean,,,,,,real,longitude latitude plevs time,zg,atmos,,area: areacella,,
CMOR Table Amon: Monthly Mean Atmospheric Fields and Some Surface Fields,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CMOR Table Lmon: Monthly Mean Land Fields, Including ,,,,,Lmon,mon,,,,,,,,,,,,,,,,
"Physical, Vegetation, Soil, and Biogeochemical Variables",,,,,,,,,,,,,,,,,,,,,,
"(All fields should be saved on the atmospheric grid; unless otherwise indicated, values are averaged over only the land portion of each grid cell and report 0.0 where land fraction is 0.)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions & notes,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Moisture in Upper Portion of Soil Column,kg m-2,the mass per unit area (summed through top 10cm) of water in all phases.,integrate over uppermost 10 cm,mrsos,moisture_content_of_soil_layer,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time ,mrsos,land,,area: areacella,,
1,Continental discharge,m3 s-1,,,dis,Discharge,,m3 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time ,dis,land,,area: areacella,,
1,River discharge,m3 s-1,,,disHD,Discharge,,m3 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time ,disHD,land,,area: areacellaHD,,
CMOR Table Aday: Daily Mean Atmosphere, Ocean and Surface Fields,,,,,day,day,,,,,,,,,,,,,,,,
"(saved on the model's atmospheric or ocean grid, as appropriate)",,,,,,,,,,,,,,,,,,,,,,
In CMOR Table Aday: 2-D daily mean atmospheric and surface fields,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions & notes,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Near-Surface Specific Humidity,1,,"normally, report this at 2 meters above the surface",huss,specific_humidity,,1,time: mean,,,,,,real,longitude latitude time height2m,huss,atmos,,area: areacella,,
1,Near-Surface Relative Humidity,%,"This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","express as a percentage.  Normally, the relative humidity  should be reported at the 2 meter height",hurs,relative_humidity,,%,time: mean,,,,,,real,longitude latitude time height2m,hurs,atmos,,area: areacella,,
1,Daily Minimum Near-Surface Air Temperature,K,,normally report this at 2 meters above the surface,tasmin,air_temperature,,K,time: minimum,,,,,,real,longitude latitude time height2m,tasmin,atmos,,area: areacella,,
1,Daily Maximum Near-Surface Air Temperature,K,,normally report this at 2 meters above the surface,tasmax,air_temperature,,K,time: maximum,,,,,,real,longitude latitude time height2m,tasmax,atmos,,area: areacella,,
1,Near-Surface Air Temperature,K,,normally report this at 2 meters above the surface,tas,air_temperature,,K,time: mean,,,,,,real,longitude latitude time height2m,tas,atmos,,area: areacella,,
1,Surface Temperature,K,"""skin"" temperature (i.e., SST for open ocean)",,ts,surface_temperature,,K,time: mean,,,,,,real,longitude latitude time,ts,atmos,,area: areacella,,
1,Precipitation,kg m-2 s-1,at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective),,pr,precipitation_flux,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,pr,atmos,,area: areacella,,
1,Surface Air Pressure,Pa,"not, in general, the same as mean sea-level pressure",,ps,surface_air_pressure,,Pa,time: mean,,,,,,real,longitude latitude time,ps,atmos,,area: areacella,,
1,Sea Level Pressure,Pa,,,psl,air_pressure_at_sea_level,,Pa,time: mean,,,,,,real,longitude latitude time,psl,atmos,,area: areacella,,
1,Daily-Mean Near-Surface Wind Speed,m s-1,,normally report this at 10 meters above the surface,sfcWind,wind_speed,,m s-1,time: mean,,,,,,real,longitude latitude time height10m,sfcWind,atmos,,,,
1,Total Cloud Fraction,%,"for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.",,clt,cloud_area_fraction,,%,time: mean,,,,,,real,longitude latitude time,clt,atmos,,area: areacella,,
1,Solid Precipitation,kg m-2 s-1,at surface; includes precipitation of all forms of water in the solid phase,,prsn,snowfall_flux,,kg m-2 s-1,time: mean,,,,,,real,longitude latitude time,prsn,atmos,,area: areacella,,
1,Eastward Near-Surface Wind,m s-1,,"normally, report this at 10 meters above the surface",uas,eastward_wind,,m s-1,time: mean,,,,,,real,longitude latitude time height10m,uas,atmos,,,,
1,Northward Near-Surface Wind,m s-1,,"normally, report this at 10 meters above the surface",vas,northward_wind,,m s-1,time: mean,,,,,,real,longitude latitude time height10m,vas,atmos,,,,
1,Surface Upward Latent Heat Flux,W m-2,,,hfls,surface_upward_latent_heat_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,hfls,atmos,,area: areacella,,
1,Surface Upward Sensible Heat Flux,W m-2,,,hfss,surface_upward_sensible_heat_flux,,W m-2,time: mean,,,,,up,real,longitude latitude time,hfss,atmos,,area: areacella,,
1,Surface Downwelling Shortwave Radiation,W m-2,,,rsds,surface_downwelling_shortwave_flux_in_air,,W m-2,time: mean,,,,,down,real,longitude latitude time,rsds,atmos,,area: areacella,,
1,Surface Downwelling Longwave Radiation,W m-2,,,rlds,surface_downwelling_longwave_flux_in_air,,W m-2,time: mean,,,,,down,real,longitude latitude time,rlds,atmos,,area: areacella,,
1,Surface Upwelling Shortwave Radiation,W m-2,,,rsus,surface_upwelling_shortwave_flux_in_air,,W m-2,time: mean,,,,,up,real,longitude latitude time,rsus,atmos,,area: areacella,,
1,Geopotential Height at 500hPa,m,,,zg,geopotential_height,,m,time: mean,,,,,,real,longitude latitude time,zg,atmos,,area: areacella,,
1,Water Vapor Path,kg m-2,,,prw,atmosphere_water_vapor_content,,kg m-2,time: mean,,,,,,real,longitude latitude time,prw,atmos,,area: areacella,,
In CMOR Table Aday: daily mean 3-D atmospheric fields on the following pressure surfaces: 1000, 850, 700, 500, 250, 100, 50, and 10 hPa",,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions & notes,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Northward Wind,m s-1 ,,,va,northward_wind,,m s-1 ,time: mean,,,,,,real,longitude latitude plev8 time,va,atmos,,,,
1,Eastward Wind,m s-1 ,,,ua,eastward_wind,,m s-1 ,time: mean,,,,,,real,longitude latitude plev8 time,ua,atmos,,,,
-------- 7 - other output
Requested output: years requested for each expt./output table combination (see CFMIP output sheet for information on time-periods for saving the special CFMIP-focused output.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If a cell is shaded yellow/tan,  none of the variables will  be part of the subset of model output that will be replicated at several locations (except, as noted by * or ** -- see note at right-- this may apply only to lower priority variables)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
